anios_egresado,trabaja_en_sector,rol_actual,tiempo_empleo,nivel_ingles,frecuencia_ia,impacto_ia,factor_contratacion,ingresos,lenguajes,frameworks,herramientas
1-3 años,Sí,Desarrollo Web Fullstack,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,"C++,JavaScript / TypeScript","Angular,FastAPI","GitHub,Kubernetes"
Menos de 1 año,Sí,Ciencia de Datos / Analítica,3-6 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"Java,SQL",React,"GitHub Actions,Scrum"
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Nunca,No ha tenido impacto significativo,Experiencia / Portafolio,500-1000,"C++,Java",Ninguno,"AWS,Cisco,Confluence"
4-6 años,Sí,Ciberseguridad,Más de un año,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,"C,Go",Ninguno,"GitHub Actions,Kubernetes"
4-6 años,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,2001-4000,"C,JavaScript / TypeScript,Python","FastAPI,Node.js,React / Next.js",Ninguna
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Intermedio,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,500-1000,"Python,SQL","Angular,React,Spring Boot",Docker
1-3 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Básico,Nunca,No ha tenido impacto significativo,Inglés y habilidades blandas,500-1000,Python,"Django / FastAPI,React","Confluence,Git"
Más de 6 años,Sí,Desarrollo de IA,Menos de 3 meses,Básico,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,Más de 4000,"C++,SQL","Django / FastAPI,Node.js,Spring Boot","Confluence,Terraform"
1-3 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,JavaScript / TypeScript,"Django / FastAPI,FastAPI","AWS,Cisco"
Más de 6 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,2001-4000,"C,Java",React / Next.js,"AWS,Cisco"
1-3 años,No,,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,"C,SQL","Angular,Django / FastAPI,React",Docker
Más de 6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,500-1000,"C,Java",Ninguno,"AWS,Cisco"
Más de 6 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"Python,SQL","FastAPI,React","AWS,Kubernetes"
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,No ha tenido impacto significativo,Experiencia / Portafolio,1001-2000,"C++,JavaScript / TypeScript","Node.js,React",Git
1-3 años,Sí,Redes / Infraestructura,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"C++,SQL","React,React / Next.js,Spring Boot","Cisco,Jira"
Más de 6 años,No,,3-6 meses,Avanzado,Nunca,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,"Java,JavaScript / TypeScript,Python",Angular,GitHub
1-3 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Certificaciones externas,1001-2000,"C,Java,Python","FastAPI,React / Next.js,Spring Boot",Cisco
Menos de 1 año,No,,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,"C++,Go","Angular,React / Next.js","Confluence,Git"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Pruebas técnicas,500-1000,"C,JavaScript / TypeScript","Angular,FastAPI","GitHub,Kubernetes"
1-3 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,Más de 4000,SQL,React / Next.js,"GitHub Actions,Linux"
Menos de 1 año,Sí,Desarrollo de IA,Más de un año,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Portafolio,1001-2000,"Java,JavaScript / TypeScript","Django / FastAPI,Spring Boot",Git
Menos de 1 año,Sí,Desarrollo Web Frontend,Menos de 3 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,2001-4000,No utilizo lenguajes de programación en mi rol actual,"FastAPI,Node.js,React",GitHub Actions
1-3 años,No,,3-6 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"C,C++,SQL","FastAPI,Node.js",Ninguna
Menos de 1 año,Sí,Gestión de Proyectos,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,Java,"FastAPI,React","Cisco,Docker,GitHub Actions"
Menos de 1 año,No,,Menos de 3 meses,Básico,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,2001-4000,"C,Go","Django / FastAPI,React","Cisco,Scrum"
4-6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,Más de 4000,No utilizo lenguajes de programación en mi rol actual,"Angular,Node.js","Docker,GitHub,GitHub Actions"
1-3 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,"Go,SQL",Ninguno,"GitHub,Jira"
4-6 años,No,,Ya trabajaba antes de graduarme,Intermedio,Nunca,Me permite asumir tareas más complejas,Inglés y habilidades blandas,2001-4000,"C,Go,Java","FastAPI,React","Cisco,Jira"
4-6 años,Sí,DevOps / Cloud,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,React / Next.js","AWS,Confluence"
1-3 años,Sí,Desarrollo Web Frontend,Más de un año,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,JavaScript / TypeScript,"FastAPI,Node.js,Spring Boot","GitHub,Jira,Linux"
Menos de 1 año,Sí,Desarrollo de IA,3-6 meses,Intermedio,Diariamente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C++,Go,JavaScript / TypeScript","Angular,Spring Boot","Docker,Terraform"
Menos de 1 año,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,1001-2000,"C,Python",Django / FastAPI,"Confluence,Docker,GitHub Actions,Kubernetes"
Más de 6 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,C,Django / FastAPI,"Cisco,Confluence,Docker,Terraform"
4-6 años,Sí,Ciberseguridad,3-6 meses,Avanzado,Diariamente,Tendrá un impacto menor,Pruebas técnicas,2001-4000,"Go,Java,SQL","Angular,React,React / Next.js","Confluence,Git"
1-3 años,Sí,DevOps / Cloud,Más de un año,Avanzado,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,"Java,SQL",Ninguno,"Cisco,Linux,Terraform"
1-3 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Certificaciones externas,1001-2000,"C,Go,Java",Ninguno,"GitHub Actions,Linux,Scrum"
Más de 6 años,Sí,Ciberseguridad,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,Más de 4000,Python,"Node.js,React,React / Next.js","Git,GitHub,Kubernetes"
1-3 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,500-1000,JavaScript / TypeScript,"Angular,React","AWS,GitHub Actions,Scrum"
Menos de 1 año,Sí,Ciberseguridad,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"Java,Python","Django / FastAPI,FastAPI,React","Linux,Scrum"
Más de 6 años,Sí,DevOps / Cloud,Más de un año,Básico,Diariamente,Me permite resolver más rápido,Certificaciones externas,1001-2000,"C,JavaScript / TypeScript","FastAPI,React / Next.js,Spring Boot",Cisco
Más de 6 años,Sí,DevOps / Cloud,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Certificaciones externas,500-1000,"JavaScript / TypeScript,Python","Angular,FastAPI,React",Ninguna
4-6 años,Sí,DevOps / Cloud,3-6 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,Más de 4000,"C,JavaScript / TypeScript","Node.js,React / Next.js","Git,Jira"
Menos de 1 año,Sí,DevOps / Cloud,Menos de 3 meses,Avanzado,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"JavaScript / TypeScript,SQL","Angular,React / Next.js","GitHub,Scrum"
1-3 años,Sí,Ciberseguridad,Ya trabajaba antes de graduarme,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,"C++,SQL",React,Ninguna
Menos de 1 año,Sí,Redes / Infraestructura,3-6 meses,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,Más de 4000,"C,C++,Java","Angular,React,React / Next.js",Git
1-3 años,Sí,Ciencia de Datos / Analítica,Más de un año,Intermedio,Diariamente,No ha tenido impacto significativo,Experiencia / Portafolio,1001-2000,"Go,Python",Node.js,"AWS,Linux"
4-6 años,Sí,Ciencia de Datos / Analítica,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,500-1000,"Java,JavaScript / TypeScript",Angular,"Cisco,Jira"
4-6 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C++,Go",Django / FastAPI,"Docker,Git,Jira,Linux"
4-6 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Go,SQL",Ninguno,"AWS,GitHub"
Menos de 1 año,Sí,Ciencia de Datos / Analítica,Menos de 3 meses,Fluido / Nativo,Nunca,Me permite resolver más rápido,Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Angular,Spring Boot",Git
1-3 años,Sí,Gestión de Proyectos,Menos de 3 meses,Avanzado,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,2001-4000,SQL,"React / Next.js,Spring Boot","Confluence,Git"
Más de 6 años,Sí,Gestión de Proyectos,3-6 meses,Avanzado,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,1001-2000,"C,Python,SQL","Node.js,React / Next.js,Spring Boot",AWS
Menos de 1 año,Sí,Desarrollo Web Backend,Más de un año,Intermedio,Diariamente,Me permite resolver más rápido,Portafolio,Más de 4000,C,"Django / FastAPI,FastAPI,React","Docker,Scrum"
1-3 años,Sí,Ciencia de Datos / Analítica,Más de un año,Básico,Ocasionalmente,Tendrá un impacto menor,Experiencia / Portafolio,1001-2000,"C,Java,SQL","Angular,Node.js,React / Next.js","GitHub,Linux"
1-3 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Node.js,Spring Boot","Confluence,Kubernetes"
Menos de 1 año,Sí,Ciencia de Datos / Analítica,Ya trabajaba antes de graduarme,Avanzado,Nunca,Me permite asumir tareas más complejas,Portafolio,1001-2000,SQL,"Angular,React",Ninguna
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,No ha tenido impacto significativo,Portafolio,2001-4000,"C++,Go","Angular,Node.js,React",Cisco
Más de 6 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,Más de 4000,"C++,Python","Node.js,Spring Boot","Cisco,Git,Scrum,Terraform"
Menos de 1 año,Sí,Desarrollo de IA,Más de un año,Avanzado,Nunca,No ha tenido impacto significativo,Pruebas técnicas,1001-2000,"C++,JavaScript / TypeScript","Node.js,Spring Boot","GitHub,GitHub Actions,Jira,Kubernetes"
1-3 años,Sí,Redes / Infraestructura,Más de un año,Básico,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,"Go,JavaScript / TypeScript","Angular,React / Next.js","Jira,Linux"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,Más de 4000,Python,"Angular,FastAPI","Jira,Terraform"
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,2001-4000,"C,Python",Ninguno,"Jira,Terraform"
4-6 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,Django / FastAPI,Ninguna
1-3 años,Sí,Gestión de Proyectos,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Certificaciones externas,2001-4000,"JavaScript / TypeScript,SQL",React,"AWS,Git,Linux,Terraform"
1-3 años,Sí,Ciberseguridad,Menos de 3 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Certificaciones externas,500-1000,SQL,Spring Boot,"Linux,Terraform"
4-6 años,Sí,Gestión de Proyectos,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,Python,"Angular,Spring Boot",Ninguna
1-3 años,Sí,Ciencia de Datos / Analítica,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,"C,Java","Angular,Spring Boot","Jira,Linux"
1-3 años,No,,Menos de 3 meses,Avanzado,Nunca,Me permite resolver más rápido,Portafolio,2001-4000,"C,C++,Python","Angular,Django / FastAPI,Spring Boot","AWS,Cisco"
Menos de 1 año,Sí,Desarrollo de IA,3-6 meses,Básico,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,Más de 4000,C,"Node.js,Spring Boot","AWS,Cisco,Linux"
Menos de 1 año,Sí,Desarrollo Web Backend,Menos de 3 meses,Intermedio,Ocasionalmente,No ha tenido impacto significativo,Pruebas técnicas,2001-4000,"C++,Go","Django / FastAPI,FastAPI,Spring Boot","GitHub Actions,Scrum"
1-3 años,Sí,Gestión de Proyectos,Más de un año,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,2001-4000,"Go,JavaScript / TypeScript","React,Spring Boot","GitHub,GitHub Actions,Terraform"
4-6 años,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,SQL,"Django / FastAPI,FastAPI,Node.js","Kubernetes,Linux"
1-3 años,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,500-1000,Python,"FastAPI,Spring Boot",Cisco
4-6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,Go,"FastAPI,React / Next.js,Spring Boot","Git,Linux"
1-3 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Certificaciones externas,1001-2000,No utilizo lenguajes de programación en mi rol actual,Ninguno,"Cisco,Linux,Scrum"
4-6 años,Sí,Desarrollo Web Backend,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,Más de 4000,Java,"FastAPI,Node.js","Jira,Kubernetes"
1-3 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Java,SQL","Django / FastAPI,React","GitHub Actions,Kubernetes"
4-6 años,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Angular,React / Next.js,Spring Boot",Ninguna
4-6 años,Sí,Desarrollo Web Frontend,Menos de 3 meses,Intermedio,Diariamente,No ha tenido impacto significativo,Experiencia / Portafolio,500-1000,C,Ninguno,"Docker,Git"
1-3 años,Sí,Gestión de Proyectos,3-6 meses,Intermedio,Diariamente,No ha tenido impacto significativo,Pruebas técnicas,500-1000,"C++,Go,Python","FastAPI,React","Kubernetes,Scrum"
4-6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,JavaScript / TypeScript,"FastAPI,Node.js",GitHub Actions
4-6 años,Sí,Ciencia de Datos / Analítica,3-6 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,"Python,SQL","FastAPI,Node.js,Spring Boot",Cisco
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,C,"Django / FastAPI,FastAPI","Docker,GitHub"
Menos de 1 año,Sí,Ciencia de Datos / Analítica,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Portafolio,Más de 4000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,FastAPI,Node.js","Cisco,Git,Linux"
Menos de 1 año,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,Me permite resolver más rápido,Pruebas técnicas,500-1000,No utilizo lenguajes de programación en mi rol actual,"Node.js,React / Next.js",Kubernetes
1-3 años,Sí,Desarrollo Web Backend,3-6 meses,Avanzado,Diariamente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,"Python,SQL","Node.js,React / Next.js","GitHub,Terraform"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Más de un año,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,No utilizo lenguajes de programación en mi rol actual,"Django / FastAPI,Node.js","Confluence,Git"
Menos de 1 año,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Inglés y habilidades blandas,500-1000,No utilizo lenguajes de programación en mi rol actual,"React,Spring Boot","GitHub,Jira"
1-3 años,Sí,Ciberseguridad,Menos de 3 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"JavaScript / TypeScript,Python","Angular,Django / FastAPI","GitHub Actions,Jira,Linux"
1-3 años,Sí,Ciberseguridad,Menos de 3 meses,Básico,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"Go,Java",Spring Boot,Scrum
1-3 años,No,,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"C,SQL",React / Next.js,"Jira,Scrum"
4-6 años,Sí,Desarrollo de IA,Menos de 3 meses,Intermedio,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,C,React / Next.js,"Git,GitHub"
Menos de 1 año,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,2001-4000,"C,Go",Django / FastAPI,Cisco
Más de 6 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Fluido / Nativo,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"Java,JavaScript / TypeScript,SQL","Angular,Django / FastAPI,React / Next.js","AWS,GitHub,Linux"
Menos de 1 año,No,,3-6 meses,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,2001-4000,C,"React,React / Next.js","GitHub Actions,Jira,Scrum"
1-3 años,Sí,Desarrollo Web Frontend,3-6 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,1001-2000,"C++,Go,Java","FastAPI,React,Spring Boot","Jira,Linux,Scrum"
Menos de 1 año,Sí,Redes / Infraestructura,Más de un año,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"C++,Go,JavaScript / TypeScript",Django / FastAPI,Ninguna
