semestre,area_aspirada,meta_graduacion,frecuencia_ia,impacto_ia,horas_autonomas,factor_empleo,lenguajes,frameworks,herramientas
1,Gestión de Proyectos,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Certificaciones externas,"Java,Python","Django / FastAPI,Node.js",Docker
5,Desarrollo Web Fullstack,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Mi portafolio de proyectos,"C++,JavaScript / TypeScript,Python","Django / FastAPI,Node.js","Docker,Jira,Linux"
1,DevOps / Cloud,Trabajar de forma remota,Diariamente,Tendrá un impacto menor,De 6 a 10 horas,Portafolio,"C,Java,JavaScript / TypeScript","Django / FastAPI,Node.js,React / Next.js","Docker,GitHub Actions,Kubernetes,Scrum"
5,Redes / Infraestructura,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Mi portafolio de proyectos,"C,JavaScript / TypeScript,SQL","Django,Django / FastAPI,React / Next.js","AWS,Docker,Jira"
3,Redes / Infraestructura,Trabajar de forma remota,Rara vez,Tendrá un impacto menor,De 6 a 10 horas,Portafolio,Ninguno,Angular,Docker
1,Desarrollo Web Fullstack,No lo sé aún,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,"C++,Java","Angular,Node.js,Spring Boot","Docker,GitHub,Kubernetes,Linux"
8,Desarrollo Web Frontend,Emprender,Ocasionalmente,Tendrá un impacto menor,De 6 a 10 horas,Inglés y habilidades blandas,"Java,JavaScript / TypeScript,Python",React / Next.js,"Kubernetes,Linux,Scrum"
9,Desarrollo Web Fullstack,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,JavaScript / TypeScript,"Angular,Django,Django / FastAPI","Jira,Scrum"
9,Desarrollo Web Frontend,No lo sé aún,Rara vez,Tendrá un impacto menor,De 1 a 5 horas,Portafolio,"C,Java","Angular,React / Next.js","AWS,Linux"
1,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Inglés y habilidades blandas,SQL,Ninguno,"Jira,Scrum"
5,Desarrollo Web Frontend,No lo sé aún,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Certificaciones externas,"Python,SQL","React,Spring Boot","AWS,Docker,Linux"
4,Desarrollo Web Frontend,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,El título universitario,"C++,Python","Django,React",GitHub
2,Ciberseguridad,Trabajar de forma remota,Rara vez,Tendrá un impacto menor,De 1 a 5 horas,El título universitario,"C,JavaScript / TypeScript,Python",Spring Boot,"GitHub,GitHub Actions"
3,Ciberseguridad,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,Ninguno,"Django,React / Next.js","Docker,Kubernetes,Linux"
9,Desarrollo de IA,Trabajar en empresa local,Ocasionalmente,No estoy seguro,De 1 a 5 horas,Inglés y habilidades blandas,"C++,Go",Django,"AWS,GitHub Actions,Kubernetes,Scrum"
3,Desarrollo Web Backend,Emprender,Ocasionalmente,No estoy seguro,Más de 10 horas,Portafolio,"C,SQL",Spring Boot,Ninguna
2,Desarrollo Web Backend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,"JavaScript / TypeScript,SQL","Angular,Spring Boot","Kubernetes,Linux"
3,DevOps / Cloud,No lo sé aún,Nunca,Tendrá un impacto menor,De 6 a 10 horas,El título universitario,"C,Java,SQL","Angular,React","GitHub,GitHub Actions,Linux"
2,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,No estoy seguro,De 6 a 10 horas,Inglés y habilidades blandas,"C++,Go,JavaScript / TypeScript","Angular,Django,React / Next.js",Ninguna
3,Gestión de Proyectos,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"Go,Java,SQL","Angular,React / Next.js,Spring Boot",Ninguna
9,Desarrollo Web Backend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,0 horas,Portafolio,"C,C++,Python",Ninguno,"GitHub Actions,Linux"
6,DevOps / Cloud,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,Inglés y habilidades blandas,"C++,Go,JavaScript / TypeScript","Angular,React,Spring Boot","GitHub,Linux"
5,DevOps / Cloud,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,"C++,JavaScript / TypeScript",Spring Boot,"GitHub,Jira"
1,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,Más de 10 horas,El título universitario,Python,"Django / FastAPI,React","GitHub Actions,Scrum"
3,DevOps / Cloud,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,Más de 10 horas,Portafolio,"Go,SQL","React,Spring Boot",GitHub Actions
7,Desarrollo Web Backend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Inglés y habilidades blandas,JavaScript / TypeScript,"Node.js,React / Next.js",Kubernetes
4,Redes / Infraestructura,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,C,React,"GitHub Actions,Jira"
3,Redes / Infraestructura,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,JavaScript / TypeScript,"Django,React",Linux
6,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Inglés y habilidades blandas,Java,React / Next.js,"AWS,Docker,Git"
10,Desarrollo de IA,Trabajar de forma remota,Rara vez,No estoy seguro,De 1 a 5 horas,Inglés y habilidades blandas,"Go,SQL","Node.js,React / Next.js",GitHub Actions
1,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Inglés y habilidades blandas,"Go,JavaScript / TypeScript,Python","Angular,Spring Boot","Kubernetes,Linux"
3,Ciencia de Datos / Analítica,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,"Go,Python","Django / FastAPI,React",Ninguna
2,Desarrollo de IA,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,Java,"React / Next.js,Spring Boot","AWS,Linux"
3,Desarrollo de IA,Trabajar de forma remota,Diariamente,No estoy seguro,0 horas,Portafolio,C,"Django / FastAPI,React / Next.js,Spring Boot","AWS,Kubernetes"
9,Ciencia de Datos / Analítica,Trabajar de forma remota,Rara vez,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,JavaScript / TypeScript,React,"AWS,Git,GitHub Actions"
1,Redes / Infraestructura,Trabajar de forma remota,Diariamente,Tendrá un impacto menor,De 1 a 5 horas,Certificaciones externas,"JavaScript / TypeScript,SQL","Django / FastAPI,Spring Boot",GitHub
7,Desarrollo Web Fullstack,Trabajar de forma remota,Ocasionalmente,Tendrá un impacto menor,Más de 10 horas,Certificaciones externas,"Go,Java",Django,"Git,Scrum"
5,Desarrollo de IA,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,"Java,Python","Django / FastAPI,Spring Boot","Git,GitHub,GitHub Actions"
10,Desarrollo de IA,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Portafolio,"Go,JavaScript / TypeScript,SQL","Node.js,Spring Boot","AWS,Kubernetes,Linux,Scrum"
10,Desarrollo Web Backend,Trabajar de forma remota,Ocasionalmente,Tendrá un impacto menor,De 6 a 10 horas,Inglés y habilidades blandas,"Go,Java,SQL","Angular,Django / FastAPI,React / Next.js",AWS
7,Desarrollo de IA,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"Go,SQL","Django,Node.js,React","Kubernetes,Linux"
1,Redes / Infraestructura,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,"JavaScript / TypeScript,Python,SQL","Angular,Django / FastAPI","AWS,GitHub,GitHub Actions"
8,Desarrollo Web Frontend,Trabajar en empresa local,Diariamente,Tendrá un impacto menor,0 horas,Inglés y habilidades blandas,C++,"React,React / Next.js","Docker,Kubernetes,Scrum"
5,Gestión de Proyectos,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Certificaciones externas,Python,"React / Next.js,Spring Boot","GitHub,GitHub Actions,Scrum"
5,Gestión de Proyectos,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,"C,C++","Django,Node.js",Ninguna
8,Desarrollo de IA,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,JavaScript / TypeScript,"Angular,Django / FastAPI,Spring Boot",GitHub Actions
9,No lo sé aún,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,El título universitario,"Go,JavaScript / TypeScript,SQL",Angular,"AWS,Scrum"
1,DevOps / Cloud,Trabajar de forma remota,Nunca,No estoy seguro,De 6 a 10 horas,Mi portafolio de proyectos,"C,Java,SQL","Angular,Node.js","AWS,Linux,Scrum"
2,Redes / Infraestructura,Emprender,Diariamente,Será una herramienta obligatoria,0 horas,Certificaciones externas,Ninguno,"Angular,React / Next.js","Docker,GitHub"
8,Desarrollo Web Fullstack,Trabajar de forma remota,Ocasionalmente,No estoy seguro,Más de 10 horas,El título universitario,"Java,Python",Django,"AWS,Git,Jira,Kubernetes"
3,Desarrollo Web Frontend,Emprender,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,El título universitario,"C++,Java,JavaScript / TypeScript","Django / FastAPI,React / Next.js","GitHub Actions,Jira"
5,Ciberseguridad,Trabajar de forma remota,Diariamente,Tendrá un impacto menor,0 horas,Portafolio,Ninguno,"Angular,Django,Django / FastAPI",GitHub
5,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,0 horas,Portafolio,"Go,JavaScript / TypeScript,Python","Node.js,React,Spring Boot","Kubernetes,Scrum"
5,Redes / Infraestructura,No lo sé aún,Diariamente,No estoy seguro,De 6 a 10 horas,Mi portafolio de proyectos,C,Spring Boot,"Jira,Linux"
1,Ciberseguridad,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,Ninguno,"Node.js,React / Next.js,Spring Boot","Git,Scrum"
7,Desarrollo Web Backend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,Go,Django,Git
2,No lo sé aún,No lo sé aún,Diariamente,No estoy seguro,0 horas,Inglés y habilidades blandas,Ninguno,Django,Jira
1,Desarrollo Web Backend,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,0 horas,El título universitario,C++,Ninguno,"AWS,Git"
3,No lo sé aún,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,"Go,Java,JavaScript / TypeScript","Node.js,React / Next.js",Scrum
6,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Inglés y habilidades blandas,Ninguno,"Angular,Django","Kubernetes,Linux,Scrum"
8,Ciencia de Datos / Analítica,Emprender,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,El título universitario,Python,"React / Next.js,Spring Boot",Ninguna
1,Ciencia de Datos / Analítica,Emprender,Ocasionalmente,Será una herramienta obligatoria,0 horas,Mi portafolio de proyectos,"C,JavaScript / TypeScript","Django,React","AWS,Docker,Git,Kubernetes"
2,Desarrollo Web Frontend,Trabajar de forma remota,Rara vez,Será una herramienta obligatoria,Más de 10 horas,El título universitario,"Java,JavaScript / TypeScript","Django,Spring Boot","AWS,Git,Scrum"
9,DevOps / Cloud,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,El título universitario,Ninguno,"Angular,React,Spring Boot",Ninguna
6,No lo sé aún,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,Java,"Angular,Django",Ninguna
1,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,"Java,Python","Django / FastAPI,React / Next.js","AWS,GitHub Actions"
4,Desarrollo Web Fullstack,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Mi portafolio de proyectos,"Go,Java",React / Next.js,Ninguna
6,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Inglés y habilidades blandas,Ninguno,"Django,React / Next.js,Spring Boot","GitHub,Jira"
4,Desarrollo de IA,Emprender,Ocasionalmente,Será una herramienta obligatoria,0 horas,El título universitario,"C++,Java,SQL",Ninguno,"AWS,Kubernetes,Linux"
3,Desarrollo Web Frontend,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"C++,Go",Django,Docker
2,Desarrollo Web Backend,Trabajar en empresa local,Diariamente,No estoy seguro,De 6 a 10 horas,Portafolio,"Go,SQL","Angular,Django","Jira,Scrum"
1,Desarrollo Web Frontend,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,0 horas,Certificaciones externas,SQL,Ninguno,"AWS,GitHub"
5,No lo sé aún,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Mi portafolio de proyectos,"JavaScript / TypeScript,SQL","Angular,Node.js,React",GitHub Actions
4,No lo sé aún,Trabajar de forma remota,Diariamente,No estoy seguro,Más de 10 horas,Portafolio,"JavaScript / TypeScript,Python","Angular,Spring Boot","Docker,Jira"
3,Desarrollo Web Fullstack,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Certificaciones externas,Ninguno,Ninguno,"AWS,Scrum"
6,Ciberseguridad,No lo sé aún,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,C,"Node.js,Spring Boot","AWS,GitHub"
4,Ciberseguridad,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,Más de 10 horas,Mi portafolio de proyectos,"C,JavaScript / TypeScript,SQL","Django / FastAPI,React / Next.js",Linux
3,DevOps / Cloud,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Inglés y habilidades blandas,"C,C++","Django / FastAPI,React,React / Next.js","Docker,GitHub,Kubernetes"
1,DevOps / Cloud,Emprender,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"Python,SQL","Django,React","Docker,Linux,Scrum"
9,DevOps / Cloud,No lo sé aún,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,El título universitario,"Go,SQL","Node.js,Spring Boot","AWS,Docker,Git"
5,Gestión de Proyectos,Trabajar de forma remota,Rara vez,No estoy seguro,Más de 10 horas,Portafolio,"Java,SQL","Node.js,React / Next.js,Spring Boot","Docker,Git,GitHub Actions,Linux"
3,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,Ninguno,"Django / FastAPI,Node.js",AWS
9,Ciencia de Datos / Analítica,Emprender,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Mi portafolio de proyectos,Ninguno,Node.js,"Kubernetes,Scrum"
1,Desarrollo Web Fullstack,Trabajar en empresa local,Nunca,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,Ninguno,"Angular,Django,React / Next.js","Docker,Linux"
2,Desarrollo Web Frontend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,C++,"Angular,Django","GitHub Actions,Kubernetes"
1,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,0 horas,Portafolio,"C++,JavaScript / TypeScript","Django / FastAPI,Node.js",Ninguna
4,DevOps / Cloud,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,"C,JavaScript / TypeScript,SQL",Ninguno,Linux
8,Desarrollo Web Fullstack,Trabajar en empresa local,Ocasionalmente,No estoy seguro,De 1 a 5 horas,Portafolio,"Go,Java","Django / FastAPI,React,React / Next.js",Jira
3,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,Go,"Django,React / Next.js","AWS,GitHub,Kubernetes"
10,Desarrollo Web Backend,Trabajar en empresa local,Rara vez,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"C,Python","React / Next.js,Spring Boot","Docker,Jira,Kubernetes"
5,DevOps / Cloud,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,JavaScript / TypeScript,Angular,"Git,GitHub Actions"
1,Desarrollo Web Backend,Trabajar de forma remota,Ocasionalmente,Tendrá un impacto menor,0 horas,Portafolio,"Go,Java","Angular,React / Next.js",Jira
3,Ciberseguridad,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,El título universitario,"Go,Java","Angular,Node.js",GitHub Actions
2,Desarrollo Web Frontend,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,Más de 10 horas,Inglés y habilidades blandas,"C,Go,Java","Angular,Django",AWS
7,Redes / Infraestructura,No lo sé aún,Diariamente,No estoy seguro,De 6 a 10 horas,Portafolio,Python,Spring Boot,Ninguna
4,Desarrollo Web Fullstack,Emprender,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,El título universitario,"C,C++,SQL","Angular,Spring Boot",Ninguna
10,Ciberseguridad,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Inglés y habilidades blandas,"Go,Python","Django,React / Next.js","Docker,GitHub Actions,Scrum"
1,Desarrollo Web Fullstack,Emprender,Ocasionalmente,Tendrá un impacto menor,Más de 10 horas,Inglés y habilidades blandas,C,"Django,Django / FastAPI,Node.js","Docker,GitHub"
5,Desarrollo de IA,Trabajar en empresa local,Diariamente,Tendrá un impacto menor,De 1 a 5 horas,Mi portafolio de proyectos,Ninguno,"Angular,Django,React / Next.js",Linux
6,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Mi portafolio de proyectos,"C,Go","React / Next.js,Spring Boot","Docker,GitHub Actions"
3,Ciencia de Datos / Analítica,Trabajar en empresa local,Rara vez,No estoy seguro,De 1 a 5 horas,Mi portafolio de proyectos,SQL,Ninguno,"GitHub,Scrum"
2,Ciencia de Datos / Analítica,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"Go,Python","Angular,Django / FastAPI,React",Docker
4,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,Más de 10 horas,Certificaciones externas,"C++,Java,Python",Ninguno,GitHub Actions
2,Desarrollo Web Frontend,Trabajar en empresa local,Rara vez,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,Ninguno,Ninguno,"AWS,Jira"
1,Ciencia de Datos / Analítica,Emprender,Ocasionalmente,Tendrá un impacto menor,De 6 a 10 horas,Portafolio,"C,Java,SQL","Django / FastAPI,Node.js",Scrum
3,Desarrollo Web Frontend,Trabajar en empresa local,Diariamente,No estoy seguro,De 6 a 10 horas,Portafolio,"C++,Java,Python",Spring Boot,"AWS,Jira,Kubernetes,Scrum"
4,Redes / Infraestructura,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Mi portafolio de proyectos,"C,Go","Angular,React,React / Next.js","Git,Linux"
5,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,No estoy seguro,De 1 a 5 horas,Certificaciones externas,Ninguno,"Django,Node.js,React / Next.js","Docker,Kubernetes"
3,Desarrollo Web Backend,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Inglés y habilidades blandas,"C++,Python","React,Spring Boot","Docker,Jira"
3,Desarrollo de IA,Trabajar de forma remota,Diariamente,No estoy seguro,De 6 a 10 horas,Inglés y habilidades blandas,SQL,Node.js,AWS
2,No lo sé aún,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 6 a 10 horas,El título universitario,Go,"Django / FastAPI,React / Next.js","Kubernetes,Scrum"
8,Ciencia de Datos / Analítica,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,0 horas,Mi portafolio de proyectos,Ninguno,"Django / FastAPI,React,Spring Boot",Scrum
2,Desarrollo de IA,Trabajar en empresa local,Rara vez,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,"C,Go,Python",Ninguno,"GitHub,GitHub Actions"
5,Desarrollo Web Frontend,No lo sé aún,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,"C,Python","Django,Django / FastAPI",Git
8,Desarrollo Web Frontend,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Mi portafolio de proyectos,Go,React / Next.js,"GitHub,GitHub Actions,Jira,Kubernetes"
9,Gestión de Proyectos,Emprender,Nunca,Reemplazará gran parte del trabajo humano,0 horas,Mi portafolio de proyectos,C,"Node.js,Spring Boot","AWS,GitHub,GitHub Actions"
7,Desarrollo Web Fullstack,Emprender,Diariamente,Reemplazará gran parte del trabajo humano,0 horas,El título universitario,C,"Angular,Node.js","AWS,Kubernetes,Scrum"
2,Ciencia de Datos / Analítica,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,Más de 10 horas,Portafolio,SQL,"Django,Django / FastAPI","AWS,Git"
5,Redes / Infraestructura,Trabajar en empresa local,Rara vez,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,"C,Java,JavaScript / TypeScript","Django,Django / FastAPI","Docker,Linux"
